id,dur,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.connection.syn,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,response_body_len,ip.fragment.count,ip.fragments,proto,frame.time_relative,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcprtt,tcp.segments,tcp.reassembled.length,http.request,tcp.port,udp.port,arp.dst.hw_mac,icmp.type,icmp.code,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.urg,arp.duplicate-address-detected,arp.duplicate-address-frame,tcp.analysis.ack_lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,icmp,data.len,dtp,vlan.too_many_tags,tcp.analysis.lost_segment,tcp.analysis.retransmission.1,wlan.fc.type_subtype,tcp.connection.fin,tcp.connection.rst,ftp.response.code,arp.opcode,tcp.flags.reset,http.request.method,ct_ftp_cmd,dns.resp.ttl,service,is_ftp_login,ct_srv_src,ct_dst_src_ltm,ct_srv_dst,state,is_sm_ips_ports,attack_cat,sbytes,dbytes,dttl,sttl,spkts,dpkts,stcpb,dtcpb,sintpkt,dintpkt,dloss,sloss,label
0.0,0.0,,,,,,,,,,,,,64,,,2,0.0,,,,,,,,,,,,,,00:00:00:00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,5,5,5,,0.0,6.0,64.0,64.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
1.0,0.008008,,,,,,,,,,,,,64,,,2,0.008008,,,,,,,,,,,,,,00:00:00:00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,5,5,5,,0.0,6.0,64.0,64.0,0,0,64.0,64.0,0.0,0,0.008008,0.008008,0.0,0.0,1.0
2.0,0.0,,,,,,,,,,,,,64,,,2,0.008008,,,,,,,,,,,,,,00:00:00:00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,5,5,5,,0.0,6.0,64.0,64.0,0,0,64.0,64.0,0.0,0,0.008008,0.008008,0.0,0.0,1.0
3.0,0.008,,,,,,,,,,,,,64,,,2,0.016008,,,,,,,,,,,,,,00:00:00:00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,5,5,5,,0.0,6.0,64.0,64.0,0,0,64.0,64.0,0.0,0,0.016008,0.023831,0.0,0.0,1.0
4.0,0.007823,,,,,,,,,,,,,64,,,2,0.023831,,,,,,,,,,,,,,00:00:00:00:00:00,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,0.0,5,5,5,,0.0,6.0,0.0,0.0,0,0,64.0,64.0,0.0,0,0.016008,0.023831,0.0,0.0,1.0
5.0,0.0,250.0,0.0.0.0,255.255.255.255,,,68.0,67.0,,300.0,0,0,,314,,,1,0.0,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,10.0,0.0,2,2,2,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6.0,0.000295,128.0,192.168.0.1,192.168.0.10,,,67.0,68.0,,328.0,0,0,,342,,,1,0.000295,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,10.0,0.0,2,2,2,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
7.0,0.069736,250.0,0.0.0.0,255.255.255.255,,,68.0,67.0,,300.0,0,0,,314,,,1,0.070031,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,10.0,0.0,2,2,2,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8.0,0.000314,128.0,192.168.0.1,192.168.0.10,,,67.0,68.0,,328.0,0,0,,342,,,1,0.070345,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,10.0,0.0,2,2,2,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,64.0,192.0.2.1,192.0.2.2,,,,,,84.0,1.0,0,,98,,,4,0.0,,,,,,,,,,,,,,,8.0,0,,,,,,,,,,,,icmp,48.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
10.0,0.835102,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
11.0,2.5e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
12.0,6.3e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.83519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
13.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,0,,74,,,107,0.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
14.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,1.0,,74,,,107,0.83521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
15.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,0,,74,,,107,0.83522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
16.0,9e-06,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,1.0,,74,,,107,0.835229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
17.0,3.6e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,1.0,,74,,,107,0.835265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
18.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
19.0,0.0,64.0,192.0.2.1,192.0.2.2,,,,,,84.0,1.0,0,,98,,,4,0.0,,,,,,,,,,,,,,,8.0,0,,,,,,,,,,,,icmp,48.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
20.0,0.835102,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
21.0,2.5e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
22.0,6.3e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.83519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
23.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,0,,74,,,107,0.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
24.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,1.0,,74,,,107,0.83521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
25.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,0,,74,,,107,0.83522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
26.0,9e-06,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,1.0,,74,,,107,0.835229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
27.0,3.6e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,1.0,1.0,,74,,,107,0.835265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
28.0,1e-05,64.0,192.0.2.1,192.0.2.2,,,,,,60.0,0,0,,74,,,107,0.835275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.0,,,0.0,,0.0,0.0,20,20,20,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
29.0,0.0,128.0,192.168.1.109,192.254.234.30,49338.0,80.0,,,1.0,52.0,1.0,0,,66,,,0,0.0,8192.0,0,0,0,0,0,0x0002,,,,,49338.0,,,,,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,8,7,,0.0,0.0,66.0,66.0,48.0,128.0,66.0,66.0,0.0,0,0.0,0.084049,0.0,0.0,0.0
30.0,0.084049,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,52.0,1.0,0,,66,,,0,0.084049,14600.0,1.0,0,0,0,0,0x0012,0.084049,,,,80.0,,,,,1.0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,0.0,66.0,66.0,48.0,128.0,66.0,66.0,0.0,0,0.0,0.084049,0.0,0.0,0.0
31.0,1e-05,128.0,192.168.1.109,192.254.234.30,49338.0,80.0,,,,40.0,1.0,0,,60,,,0,0.084059,65536.0,1.0,1.0,0,0,0,0x0010,1e-05,,,,49338.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,29,8,7,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32.0,0.000851,128.0,192.168.1.109,192.254.234.30,49338.0,80.0,,,,474.0,1.0,0,,488,,,0,0.08491,65536.0,1.0,1.0,434.0,0,0,0x0018,,,,1.0,49338.0,,,,,0,1.0,0,1.0,0,,,,,,,,,,,,,,,,,0.0,0,GET,0.0,,4.0,0.0,10,8,1,4,0.0,0.0,488.0,60.0,48.0,128.0,488.0,60.0,0.0,1.0,0.08491,0.150235,0.0,0.0,0.0
33.0,0.065325,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,40.0,1.0,0,,60,,,0,0.150235,15744.0,435.0,1.0,0,0,0,0x0010,0.065325,,,,80.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,7.0,488.0,60.0,48.0,128.0,488.0,60.0,0.0,1.0,0.08491,0.150235,0.0,0.0,1.0
34.0,5.146852,48.0,192.254.234.30,192.168.1.109,80.0,49338.0,,,,1500.0,1.0,0,,1514,,,0,5.297087,15744.0,435.0,1.0,1460.0,0,0,0x0010,,,,,80.0,,,,,0,1.0,0,0,0,,,,,,,,,,,,,,,,,0.0,0,,0.0,,0.0,0.0,10,10,28,,0.0,7.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
